City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,hamilton,39.1834,-84.5333,63.23,50,0,8.05,US,1682612172
1,adamstown,-25.066,-130.1015,74.32,70,99,4.56,PN,1682612173
2,saipan,15.1355,145.701,81.3,89,40,16.11,MP,1682612174
3,atafu village,-8.5421,-172.5159,83.52,74,84,9.57,TK,1682612176
4,hermanus,-34.4187,19.2345,63.81,78,79,10.16,ZA,1682612177
5,yeed,4.55,43.0333,87.03,53,80,16.26,SO,1682612179
6,talnakh,69.4865,88.3972,13.21,98,100,2.06,RU,1682612181
7,yellowknife,62.456,-114.3525,32.56,100,100,12.66,CA,1682612175
8,limoeiro do norte,-5.1456,-38.0981,80.69,82,92,6.49,BR,1682612183
9,waitangi,-43.9535,-176.5597,50.83,76,78,1.99,NZ,1682612184
10,fort bragg,35.139,-79.006,64.9,87,100,9.22,US,1682612186
11,port-aux-francais,-49.35,70.2167,41.29,67,96,25.26,TF,1682612187
12,west island,-12.1568,96.8225,80.58,89,40,16.11,CC,1682612188
13,holualoa,19.6228,-155.9522,67.84,91,75,5.99,US,1682612189
14,qaqortoq,60.7167,-46.0333,37.08,74,89,7.76,GL,1682612192
15,vorgashor,67.5833,63.95,20.3,89,63,15.79,RU,1682612193
16,santiago de veraguas,8.1,-80.9833,88.29,43,30,3.11,PA,1682612194
17,grytviken,-54.2811,-36.5092,37.76,92,46,9.48,GS,1682612197
18,hanceville,34.0607,-86.7675,60.71,97,100,7.99,US,1682612198
19,dunedin,-45.8742,170.5036,49.8,81,0,1.01,NZ,1682611911
20,whitehorse,60.7161,-135.0538,34.11,60,37,21.0,CA,1682612026
21,bredasdorp,-34.5322,20.0403,62.4,68,99,9.93,ZA,1682612047
22,badger,64.8,-147.5333,34.12,75,75,0.0,US,1682612203
23,spas-klepiki,55.1347,40.1767,58.8,67,77,1.45,RU,1682612204
24,oriximina,-1.7656,-55.8661,80.85,76,100,2.73,BR,1682612205
25,pacific grove,36.6177,-121.9166,72.64,100,100,0.0,US,1682611935
26,morris,40.8334,-74.5329,56.16,74,75,4.61,US,1682612208
27,anadyr,64.75,177.4833,7.3,85,20,15.66,RU,1682612209
28,nogliki,51.8333,143.1667,30.45,98,100,14.61,RU,1682612210
29,vilyuysk,63.7553,121.6247,30.22,88,83,8.93,RU,1682612212
30,jamestown,42.097,-79.2353,55.02,47,0,1.99,US,1682611991
31,ashland,40.8167,-82.2665,56.97,55,69,7.02,US,1682612086
32,blackmans bay,-43.0167,147.3167,55.53,87,23,7.58,AU,1682612215
33,bethel,41.3712,-73.414,52.56,84,100,1.01,US,1682612217
34,lihue,21.9789,-159.3672,65.79,82,0,9.22,US,1682612218
35,kurumkan,54.3,110.3,36.7,62,98,3.62,RU,1682612219
36,albany,42.6001,-73.9662,54.57,69,93,0.69,US,1682611937
37,puerto natales,-51.7236,-72.4875,46.85,76,100,12.66,CL,1682612222
38,olonkinbyen,70.9221,-8.7187,29.98,95,100,22.1,SJ,1682612223
39,swakopmund,-22.6833,14.5333,65.26,71,32,11.21,NA,1682612225
40,shetpe,44.1667,52.1167,72.23,46,22,4.52,KZ,1682612226
41,hami,42.8,93.45,53.1,10,0,13.62,CN,1682612137
42,ribeira grande,38.5167,-28.7,64.8,82,20,20.71,PT,1682612228
43,margaret river,-33.95,115.0667,54.66,72,64,8.77,AU,1682612230
44,nemuro,43.3236,145.575,41.74,63,0,21.32,JP,1682612231
45,ust-nera,64.5667,143.2,14.13,91,100,1.57,RU,1682612232
46,rio grande,-32.035,-52.0986,73.51,61,4,8.3,BR,1682612233
47,paraipaba,-3.4394,-39.1483,81.97,73,100,8.21,BR,1682612235
48,nadi,-17.8,177.4167,80.6,78,40,10.36,FJ,1682612237
49,iqaluit,63.7506,-68.5145,31.73,86,75,16.11,CA,1682612238
50,tazovsky,67.4667,78.7,17.15,93,92,3.49,RU,1682612239
51,edinburgh of the seven seas,-37.0676,-12.3116,63.1,77,97,19.33,SH,1682612241
52,raja,8.4596,25.678,90.84,36,80,2.68,SS,1682612242
53,bocas del toro,9.3333,-82.25,79.83,68,12,6.2,PA,1682612243
54,lompoc,34.6391,-120.4579,51.94,100,100,0.0,US,1682612066
55,lebu,-37.6167,-73.65,62.98,68,52,10.29,CL,1682612246
56,tura,25.5198,90.2201,78.4,38,97,4.21,IN,1682612247
57,mopti,14.6667,-4.0,104.04,7,59,8.05,ML,1682612249
58,puerto ayora,-0.7393,-90.3518,85.96,86,51,8.99,EC,1682612250
59,saint-joseph,-21.3667,55.6167,73.78,79,14,5.75,RE,1682612251
60,alice springs,-23.7,133.8833,62.15,82,40,6.02,AU,1682612253
61,griffith,41.5284,-87.4237,61.3,41,0,11.5,US,1682612254
62,urzhar,47.093,81.6294,56.91,45,19,8.7,KZ,1682612255
63,selfoss,63.9331,-20.9971,37.04,96,100,5.12,IS,1682612257
64,redencao,-4.2258,-38.7306,73.2,98,100,1.16,BR,1682612259
65,mata-utu,-13.2816,-176.1745,82.44,74,100,5.7,WF,1682612260
66,viedma,-40.8135,-62.9967,67.35,39,100,16.33,AR,1682612261
67,port elizabeth,-33.918,25.5701,69.1,81,20,18.41,ZA,1682612262
68,kirensk,57.7853,108.1119,28.9,97,99,3.09,RU,1682612263
69,iskateley,67.6803,53.1512,27.01,87,100,12.46,RU,1682612265
70,as sanad,34.4628,9.264,86.25,21,21,12.91,TN,1682612267
71,invercargill,-46.4,168.35,45.91,97,33,4.27,NZ,1682612268
72,nar'yan-mar,67.6713,53.087,27.07,88,100,12.41,RU,1682612270
